id,loan_amount,instalment,expected_revenue,total_payment,loss
Summary,,,"Total Expected Loss: $28,885,826.94",,
8354763,10000,319.17,11490.12,47.96049338623848,11442.159506613762
8354653,10850,282.66,10175.76,36.29402360014852,10139.465976399852
8334944,15000,481.69,17340.84,47.6564043984425,17293.183595601557
8334781,20000,673.79,24256.44,62.70406340521432,24193.735936594785
8305442,15000,575.97,20734.920000000002,58.53312942075906,20676.38687057924
8304867,32875,818.8,49128.0,50.34914212565037,49077.65085787435
8295625,35000,1000.8,60048.0,57.63745173551688,59990.362548264486
8286189,11300,375.27,13509.72,48.89643765651371,13460.823562343485
8285951,35000,1367.65,49235.4,72.50632107356286,49162.89367892644
8285601,9750,351.32,12647.52,46.89620618314392,12600.623793816856
8276439,18000,400.31,24018.6,50.88780228355896,23967.71219771644
8274634,10000,249.07,14944.199999999999,44.82781830345522,14899.372181696544
8265888,29175,1001.39,36050.04,55.84293242852096,35994.19706757148
8265577,10000,336.9,12128.4,48.00923932410937,12080.39076067589
8265164,15000,481.69,17340.84,53.200702390154895,17287.639297609847
8264600,9600,329.51,11862.36,33.82388468776157,11828.53611531224
8264562,25000,622.66,37359.6,54.54975695156517,37305.050243048434
8225330,19000,473.23,28393.800000000003,28.53364977012173,28365.266350229882
8214925,9600,345.91,12452.76,50.11370445978161,12402.646295540218
8184911,20000,488.49,29309.4,58.04443942723741,29251.355560572763
8158117,22475,535.86,32151.600000000002,43.60462293448833,32107.995377065516
8158033,9700,336.73,12122.28,34.07792457449193,12088.202075425508
8156643,20000,625.81,22529.159999999996,58.09321951995185,22471.066780480043
8156475,7200,273.86,9858.960000000001,45.610619942958174,9813.349380057043
8155805,8000,265.68,9564.48,36.715585004286616,9527.764414995712
8155410,8875,286.33,10307.88,42.84646733429856,10265.0335326657
8154825,10000,322.63,11614.68,41.56789694957503,11573.112103050426
8146481,27225,945.1,34023.6,65.57314003864202,33958.026859961356
8146124,3300,114.56,4124.16,33.146527907097905,4091.013472092902
8145403,20000,617.27,22221.72,51.82735691488391,22169.892643085117
