id,loan_amount,total_payment
Summary,,Percentage Charged Off: 3.84%
Summary,,"Total Paid Before Charge Off: $66,568.86"
9838064,18000,51.60088769015801
9836699,10000,28.14743258275632
9827865,12500,50.34417113130036
9826923,20050,46.84168409613357
9825787,18225,51.97906200003428
9817063,30875,71.47987411450467
9815857,5500,34.26343572481365
9808090,15000,46.65361985680829
9807384,7475,33.8648394133703
9807288,10500,42.87609754706999
9805119,23000,34.25040301352532
9796970,9125,34.839730352928704
9796603,22000,63.49436383375112
9795921,25000,46.820984717926656
9795585,19425,50.15309112071739
9787243,24000,40.64912702192605
9777773,17500,54.73197365197269
9776937,22250,52.40751727371918
9774830,18000,43.2643979513726
9774649,4000,35.32998727954189
9767748,21000,42.084750337914265
9767166,22000,22.68211192845345
9766415,9950,39.74894370818775
9765543,7750,45.10926725725494
9765331,12000,51.86923754225597
9755973,8000,27.99247966264764
9755428,23150,58.65137967249928
9745035,14125,53.36032430584706
9735125,8000,45.49375140008391
9735056,8000,41.9850728540817
9725808,2600,25.603324767353072
9725490,18000,50.14230038616787
9716594,22050,64.50658808445725
9706553,10000,31.47774992864417
9705304,4000,28.007056021961045
9705270,20000,47.3051366607502
9705133,10000,37.53967008261391
9694869,6075,30.39823265182257
9676505,25000,31.78457410746276
9676233,9450,31.978070753914064
9674967,12250,47.55104936847678
9665219,2100,23.406511543066244
9655213,8000,33.01603148858669
9654813,28000,66.52360974207531
9646563,10900,33.09232101807552
9646098,3000,27.90034044234196
9644937,5125,30.874182289693664
9644669,10000,28.22310053132317
9624580,29175,53.47918501406718
9614977,11000,50.06555829531241
9464620,15000,40.40684122349625
9564924,16825,44.452990572382674
9544968,5000,25.353352870513795
9484965,8500,46.8188977154388
9454789,7200,42.98126112072702
9445275,19750,59.86760108323462
9445226,5000,31.486081204978912
9414747,21000,54.884085712520616
9394955,14400,45.75627355587925
9384977,35000,70.09326712278117
9314582,11200,35.00612868329931
9295142,12000,32.19623441827016
9295059,5000,36.24880993072403
9294954,11325,46.48466183115856
9284983,9600,32.87848219969796
9284923,14550,46.95123993486647
9264599,11400,46.91614624019054
9238242,16100,26.06714887373661
9238230,12375,51.260686283112165
9237354,18000,60.72272309665468
9237347,10000,46.00810972639848
9236198,11875,49.50651600241567
9235313,35000,68.5918303101038
9199096,21000,44.26334747854546
9199075,11700,48.37425998598018
9198681,10375,43.87329062448576
9196662,27300,57.96716684120156
9229440,9000,46.47798320636294
9228959,16750,40.86141375793693
9228131,7800,40.50198561551998
9227546,10000,32.45655970348195
9227520,33425,60.7009182884206
9227273,7000,35.79070628162595
9227240,8000,46.05973379889354
9227029,35000,58.82251998550292
9224984,13750,34.89944693653266
9224783,16000,54.15441514432951
9224637,25450,61.493051038534695
9215382,30000,45.513752664229685
9209285,15000,40.66955461522148
9206038,12000,38.42167828602015
9189717,26500,53.82243803744962
9189022,19125,50.46847255582835
9187491,16000,47.948992770407656
9185914,6600,41.354689146898885
9185164,16000,40.24186594309006
9184593,18000,20.32462692992752
9165143,20000,48.61808674073446
9155305,10000,44.08854989172436
9154944,35000,48.07509449915744
9135109,15000,48.213201891176624
9134873,12000,36.12984433261056
9104600,15875,59.32530194530289
9094824,5000,34.334744369876105
9077950,12000,47.29559484215688
9076356,13500,52.0900173923797
9067571,14600,54.29818632213815
9066610,15000,54.9089732526834
9065106,4000,36.26776250827394
9064627,16000,51.14698416385399
9057306,30000,68.07263186448199
9057022,13150,39.88388846284724
9056252,8500,37.59649910838265
9056056,16000,55.84120716641647
9054960,6500,21.79136164691057
9054859,31300,48.5877303647905
9048495,5000,31.335752636174966
9046886,23500,64.28379804884302
9044843,10000,47.14012757407837
9044777,18825,62.70741167039439
9037711,30000,69.94636335444312
9036774,23275,57.7447917977318
9036274,16950,54.812791027965744
9035555,9750,46.251044232915504
9034564,3200,28.18455223335404
9024799,17000,50.431885220410926
9011732,5125,38.50695814229115
9008859,11000,44.14485245170712
9008788,5500,21.628226483716304
9007769,8500,41.50086088598859
9007665,14125,38.90301495347244
9006426,27300,71.3954554599693
9006305,18000,54.36701234597636
9005913,15600,42.07521124106441
9005175,13475,50.37719236079254
9000440,11500,50.85272725738712
9000269,9000,40.215930672527485
8998860,9000,40.02748408645628
8998633,15000,36.75209524641589
8997706,24000,58.53401571946282
8997078,19425,48.86807316840103
8995493,6000,39.06152019300714
8981817,23325,35.072653918028216
8981176,15900,44.470202038012125
8981034,20000,50.77834006346031
8979192,28000,43.41785002588559
8976980,9750,22.010655879150924
